1.docx,Unused triplet IDs,Unguessable text
1,X,"Vorarlberg , the westernmost area, at 690 meters in the Montafon valley on the Litz river , a
tributary of the Ill river ."
2,1,"( born May 1 , 1942 ) is a Brazilian politician . He has represented Alagoas in the Federal Senate since 2011 . Previously , he was a Deputy from Alagoas from 1995 to
1999 ."
3,2,"to parents who immigrated from Slovakia ."
4,X,"Nicholas Guy ( fl . 1612 – 1631 ) was one of the first settlers at the London and Bristol Company 's Cuper 's Cove , colony in Newfoundland , and was the father of the first English child born in Newfoundland and subsequently all of the
country of Canada."
5,X,longhorn beetles
6,X,"Jefferson Mall originally had no food court , only a Burger King and a casual dining restaurant called Annabelle ’s, of Cleveland , Ohio and included 936,000 square feet ( 87,000 m ) of
space ."
7,2,"Hugo Butler suffered from arteriosclerotic brain disease for several years before he, from a
heart attack, California"
8,X,"was born in 1812,  the son of Harry Ferrett and his wife Mary ( née
Rabbit ) ."
9,1,"Rating the film 1.5/5 , Veeyen of Nowrunning.com said , `` Ulsaha Committee ' is a visual onslaught on the audience from the, Akku Akbar team that takes it
by total shock ."
10,X,"Rude Kids is a punk rock band, Their first single `` Raggare is a Bunch of Motherfuckers '' , released by Polydor, Rude Kids was the first Swedish punk band to release a record through a
major record label ."
11,X,X
12,4,"Yanbolaq ( Persian :  , also Romanized as Yānbolāq ; also known as Yūmbolāgh and Yānbolāgh-e Jadīd ), in Takab Rural District , in the Central District of Dargaz County , Razavi Khorasan Province , At the 2006 census , in 22
families ."
13,3,"( Urdu : ازناور    ) ( born
15 July 1976 ), guitarist"
14,"1, 2","Penn State was Leaders Division co-Champion , while Legends Division runner-up Michigan finished with the conference 's best
record."
15,"1, 2, 3, 5","The Monochrome Set was formed in London, from the remnants of a college group called The B-Sides , whose members had included Stuart Goddard , later
known as Adam Ant ."
16,"1, 3, 4, 5","Blachford played junior hockey for Montreal Mintos in 1898–99 , before graduating to senior-level hockey the following season with Montreal Stirling , for which he played until 1902 ."
17,"1, 3, 4, 5, 6",of the United States and defending champion Boris Spassky of the Soviet Union .
18,"2, 3","Plus , the CBC announced a record TV audience of more than
5.2 million Canadian
viewers for the Grey Cup game"
19,"2, 5","19 March, 26 March  was a French art historian and
curator ."
20,"2, 3, 4","Roughly three miles ( 5 km ) outside of Prattsburgh , NY 53 turns to the west , as it winds its way across the hilly , forested northernmost portion of Steuben
County ."
21,"1, 4, 5, 6, 7","Buzău County, to a family of wealthy
peasants ."
22,"1, 2, 4, 5, 6, 9, 10","On the other side of the canal , the route enters the town of Gaines before exiting the Albion village limits . At Five Corners , a small hamlet north of Albion , intersects the current southern terminus of NY
279 ."
23,"1, 2, 3, 5, 8, 9","Having entered the
Cabinet as, in 1959"
24,"1, 4, 6","important connection
between Pudong International Airport"
25,"3, 4, 5, 6, 7, 8, 9, 10","In the women 's final , of Switzerland defeated Ontario ’s, with a score
of 8–5 in seven ends ."
26,"1, 2, 3, 4, 5, 6, 7","precursor band , The
Creeping Ritual , formed in late 1979 ."
27,"5, 6, 8","Bradley, Brown, Miami (Ohio), Nevada, Richmond, Utah, UTEP, Valparaiso,
Washington"
28,"1, 3, 4, 5, 6, 7","Round one saw the exit of Antrim , Down , Waterford , London , Carlow , Louth , Cavan and Wicklow from the 2006 All-Ireland Senior Football Championship . All-Ireland Football Champions Tyrone were forced to a replay against Louth but Tyrone came out as winners in the
end ."
29,"1, 3, 4, 5, 6, 7, 8","NY 17B and NY 55
proceed eastward through the , running along the southern shore of White Lake , passing numerous lakeside residences . A short distance later , the routes reach the hamlet of White Lake , coming to an intersection with CR 14 ."
30,"1, 2, 3, 5, 6, 7, 8","The tournament winner earns the league 's bid to the 2016 NCAA Division
I Baseball Tournament ."
