,Unused triplet IDs,Unguessable text
1,x,x
2,x,x
3,x,x
4,x,x
5,2,x
6,3,is a commune
7,x,is a village
8,x,x
9,x,x
10,x,x
11,x,x
12,x,southern
13,x,Indian
14,x,"transmitted up-to-the-minute, reports to subscribers in"
15,x,x
16,x,x
17,x,x
18,x,x
19,x,x
20,x,was the long-serving
21,x,x
22,x,x
23,x,thriller film
24,x,"best known for having received the for Best Novel in, respectively"
25,x,x
26,x,whose work encompassed 
27,x,x
28,x,x
29,x,x
30,x,"primarily in parts of what is now the state of, but also with outposts in modern-day"
