,Unused triplet IDs,Unguessable text
1,x,x
2,x,x
3,x,x
4,x,x
5,2,x
6,3,x
7,3,x
8,3,x
9,x,x
10,x,x
11,x,x
12,x,x
13,x,x
14,x,up-to-the-minute to subscribers
15,x,x
16,3,"In theory, an intersection of a family of sets"
17,4,"are proteins expressed by some viruses, therefore blocking the recognition"
18,x,x
19,x,x
20,x,x
21,x,x
22,x,x
23,x,x
24,x,"best known for Best Novel, for Rua Augusta and Pátio das Donzelas respectively"
25,x,a rural unincorporated community
26,x,x
27,x,x
28,"4,5",x
29,x,x
30,x,x
