,Unused triplet IDs,Unguessable text
1,x,at the age of 91.
2,x,is a multipurpose power device designed for electronic components
3,x,"(sometimes called Dillard - Hartford - Dillard) is an album by Doug Dillard, and Rodney Dillard."
4,x,for his undergrad and film and television composition program
5,x,x
6,x,playing 3 matches.
7,1,"(born Adrianne Judith Pringle) is a British former jazz, cabaret, comedian and impressionist"
8,x,is also the motherland of some great business families of .
9,1,"took up at the home of the Legh family, who had an estate close to the in Cheshire and were one of the greatest names"
10,2,x
11,3,"(ワンダーボーイ, Wandā Bōi) is developed by Escape (now known as)."
12,"1,2,4,5,6","(Valencian pronunciation: [la ˈsɛra ðeŋ ɡalseˈɾan], Spanish: Sierra Engarcerán) is a small in the province of Castelló, Valencian Community."
13,"2,3",is an Austrian football manager and former footballer who played as a midfielder.
14,3,"was released under the Mercury subsidiary label and became a number one pop on the Billboard Hot 100 in late , and remained on the charts in early 1970."
15,x,"Kansas City Royals, Pittsburgh Pirates, Chicago White Sox and Toronto Blue Jays."
16,x,"Argentinian Jesuit, and naturalist."
17,4,FRSE MIME Scottish educator
18,"1,4",General is a Chadian insurgent leader who currently commands the (UFDD).
19,"1,2",Dutch former professional
20,"4,5",Japanese
21,"3,5,7",(Arabic:حاج عبد الرحمان;) was an Algerian from Télemly
22,"2,3,6",(K413) Britain's
23,5,lecturer on architectural subjects
24,x,x
25,6,multi-purpose
26,"1,3,6",unincorporated community
27,8,"( February 5, ) remarkably noted as the first novel Nolie Me Tangere into the language."
28,"1,2,6,7",operated after the dissolution until it was converted in 2005
29,"1,4,7",former professional
30,"5,6,8",1881
