,Unused triplet IDs,Unguessable text
1,x,x
2,x,x
3,x,x
4,x,x
5,x,x
6,x,x
7,1,x
8,2,x
9,x,x
10,x,x
11,x,"""Escape (now known as Westone Bit Entertainment)"""
12,"1,5","(Valencian pronunciation: [la ˈsɛra ðeŋ ɡalseˈɾan], Spanish: Sierra Engarcerán
Valencian Community"
13,2,x
14,x,x
15,x,x
16,"5,6",x
17,"3,6",x
18,x,x
19,x,x
20,"5,6",x
21,"3,5,7","Hadj Abderrahmane (Arabic:حاج عبد الرحمان; October 12, 1941 - October 5, 1981"
22,6,x
23,5,x
24,1,x
25,"1,3,5,7",x
26,"1,5,6",x
27,3,x
28,"1,2,3",x
29,"1,2",x
30,x,x
