,Unused triplet IDs,Unguessable text
1,x,"690 meters in the Montafon valley on the Litz river, a tributary of the Ill river"
2,1,"Benedito de Lira (born May 1, 1942) is a Brazilian politician.""
""He has represented Alagoas in the Federal Senate since 2011.""
""Previously, he was a Deputy from Alagoas from 1995 to 1999."""
3,2,to parents who immigrated from Slovakia
4,1,"(fl. 1612–1631) was one of the first settlers at the London and Bristol Company's Cuper's Cove colony in Newfoundland, and was the father of the first English child born in Newfoundland and subsequently all of the country of Canada."
5,1,"is a genus of longhorn beetles of the subfamily Lamiinae , containing the following species"
6,x,"Jefferson Mall originally had no food court , only a Burger King and a casual dining restaurant called Annabelle 's .
and included 936,000 square feet ( 87,000 m ) of space ."
7,2,"Hugo Butler suffered from arteriosclerotic brain disease for several years before he died from a heart attack in 1968 in Hollywood, California"
8,x,x
9,1,x
10,2,"Their first single 'Raggare is a Bunch of Motherfuckers,' that they recorded themselves, was released by Polydor in 1978."
11,"1,2,3,4",The manga began serialization by Tomo Takeuchi in Kodansha 's in the December 2011 issue .
12,4,"Yanbolaq (Persian: ‎, also Romanized as Yānbolāq; also known as Yūmbolāgh and Yānbolāgh-e Jadīd) is a village in Takab Rural District, in the Central District of Dargaz County, Razavi Khorasan Province, Iran."
13,x,x
14,"1,2,3,4","Penn State was Leaders Division co-Champion , while Legends Division runner-up Michigan finished with the conference 's best record ."
15,"1,2,3,5","from the remnants of a college group called The B-Sides , whose members had included Stuart Goddard , later known as Adam Ant ."
16,"1,2,3,4,5,6","Born in Montreal , Quebec , Blachford played junior hockey for Montreal Mintos in 1898–99 , before graduating to senior-level hockey the following season with Montreal Stirling , for which he played until 1902 ."
17,"1,2,3,4,5,6",The World Chess Championship 1972 was a match for the World Chess Championship between challenger Bobby Fischer of the United States and defending champion Boris Spassky of the Soviet Union .
18,"1,2,3,4","Plus , the CBC announced a record TV audience of more than 5.2 million Canadian viewers for the Grey Cup game between the Montreal Alouettes and the Edmonton Eskimos ."
19,2,x
20,"1,2,3,4,5","NY 53 turns to the west , loosely paralleling the Steuben– Ontario county line as it winds its way across the hilly , forested northernmost portion of Steuben County"
21,"1,2,3,4,5,6,7","Voiculescu was born in Pârscov , Buzău County , Romania"
22,"1,2,3,4,5,6,7,8,9,10","On the other side of the canal , the route enters the town of Gaines before exiting the Albion village limits
At Five Corners , a small hamlet north of Albion , NY 98 intersects the current southern terminus of NY 279"
23,"1,2,3,4,5,6,7,8,9","Having entered the Cabinet as Minister of Labour in 1959 , he was promoted to Lord Privy Seal and later became President of the Board of Trade ."
24,"1,2,3,4,5,6,7",It serves as an important connection between Pudong International Airport in Shanghai and the cities of Jiaxing and Huzhou in the province of Zhejiang .
25,"1,2,3,4,5,6,7,8,9,10","In the women 's final , Mirjam Ott of Switzerland defeated Ontario 's Rachel Homan with a score of 8–5 in seven ends "
26,"1,2,3,4,5,6,7","The Gun Club 's precursor band , The Creeping Ritual , formed in late 1979 ."
27,"1,2,3,4,5,6,7,8,9","Besides Tulsa and Bradley , Brown , Cincinnati , Houston , Miami ( Ohio ) , Nevada , Old Dominion , Ohio , Richmond , Rider , Utah , UTEP , Valparaiso , Virginia and Washington also participated in the tournament ."
28,"1,3,4,5,67","Round one saw the exit of Antrim , Down , Waterford , London , Carlow , Louth , Cavan and Wicklow from the 2006 All-Ireland Senior Football Championship"
29,"3,4,5,6,7,8","A short distance later , the routes reach the hamlet of White Lake , coming to an intersection with CR 14
NY 17B and NY 55 proceed eastward through the town of Bethel , running along the southern shore of White Lake , passing numerous lakeside residences"
30,"2,3,67","Western Carolina University won the tournament
The annual event determines the conference champion of the Division I Southern Conference in college baseball"
