,Unused triplet IDs,Unguessable text
1,x,"the westernmost area of , in the vicinity of at 690 meters in the Montafon valley on the Litz river , a tributary of the Ill river ."
2,1,"Benedito de Lira ( born May 1 , 1942 ) is a Brazilian politician . He has represented Alagoas in the Federal Senate since 2011 . Previously , he was a Deputy from Alagoas from 1995 to 1999 ."
3,2,to parents who immigrated from Slovakia .
4,x,"( fl . 1612 – 1631 ) was one of the first settlers at the London and Bristol Company 's Cuper 's Cove , colony in Newfoundland , and was the father of the first English child born in Newfoundland and subsequently all of the country"
5,2,"is a genus of longhorn beetles of the subfamily Lamiinae , containing the following"
6,x,"originally had no food court , only a Burger King and a casual dining restaurant called Annabelle 's . The mall was of Cleveland , Ohio and included 936,000 square feet ( 87,000 m ) of space ."
7,2,suffered from arteriosclerotic brain disease for several years before he from a heart attack in in California .
8,x,"in 1812 in England , the son of Harry Ferrett and his wife Mary ( née Rabbit ) ."
9,1,"Rating the film 1.5/5 , Veeyen of Nowrunning.com said , is a visual onslaught on the audience from the - Akku Akbar team that takes it by total shock ."
10,x,"is a punk rock band . Their first single `` Raggare is a Bunch of Motherfuckers '' , that they recorded themselves , was released by Polydor . was the first Swedish punk band to release a record through a major record label ."
11,x,x
12,4,"( Persian : ‎ , also Romanized as Yānbolāq ; also known as Yūmbolāgh and Yānbolāgh-e Jadīd ) is a in Takab Rural District , in the Central District of Dargaz County , Razavi Khorasan Province. At the 2006 census, in 22 families ."
13,x,"( Urdu : فراز انور ) (15 July 1976 ) is a Pakistani guitarist from, known for his solo instrumental work"
14,"1, 2","was Leaders Division co-Champion , while Legends Division runner-up finished with the conference 's best record"
15,"1, 2, 3, 5","in London from the remnants of a college group called The B-Sides , whose members had included Stuart Goddard , later known as Adam Ant ."
16,"1, 3, 4, 5","played junior hockey for Montreal Mintos in 1898–99 , before graduating to senior-level hockey the following season with Montreal Stirling , for which he played until 1902 ."
17,"1, 2, 3, 4, 6",was a match for the World Chess Championship between of the United States and defending champion Boris Spassky of the Soviet Union .
18,"2,3","Plus , the CBC announced a record TV audience of more than 5.2 million Canadian viewers for the Grey Cup game."
19,2,( 19 March  – 26 March  ) art historian and curator .
20,"2, 3, 4","Roughly three miles ( 5 km ) outside of Prattsburgh , 
turns to the west, loosely paralleling the line as it winds its way across the hilly , forested northernmost portion."
21,"1, 4, 5, 7","Buzău County, to a family of wealthy peasants."
22,"2, 4, 5, 6, 9","On the other side of the canal , the route enters the before exiting the limits . At Five Corners , a small hamlet north of the intersects the current southern terminus of NY 279 ."
23,"1, 2, 3, 5, 8, 9","Having entered the Cabinet as, in 1959 , he was promoted to and later became "
24,x,It serves as an important connection between Pudong International Airport in and the cities of in the province .
25,"3, 4, 5, 6, 7, 8, 9, 10","In the women 's final, of Switzerland defeated Ontario 's with a score of 8–5 in seven ends."
26,"2, 3, 4, 5, 6, 7","precursor band , The Creeping Ritual , "
27,"5, 6, 7, 8","Besides and Bradley , Brown , Miami , Nevada , Richmond , Utah , UTEP , Valparaiso and Washington also participated in the tournament."
28,"3, 4, 5, 6, 7","[ 1 ] Round one saw the exit of Antrim, Waterford , London , Carlow , Louth , Cavan and Wicklow from the 2006 All-Ireland Senior Football Championship . All-Ireland Football Champions Tyrone were forced to a replay against Louth but Tyrone came out as winners in the end ."
29,"3, 4, 5, 7, 8","NY 17B, proceed eastward through the town of , running along the southern shore of White Lake , passing numerous lakeside. A short  distance later , the routes reach the hamlet of White Lake , coming to an intersection residences with CR 14 ."
30,"2, 3, 5, 6, 7, 8",The annual event determines the champion of the Division I in college. The tournament winner earns the league 's bid to the 2016 NCAA Division I.
