,Unused triplet IDs,Unguessable text
1,x,"the westernmost area of Austria , in the vicinity of Bludenz at 690 meters in the Montafon valley on the Litz river , a tributary of the Ill river ."
2,1,"Benedito de Lira ( born May 1 , 1942 ) is a Brazilian politician . He has represented Alagoas in the Federal Senate since 2011 . Previously , he was a Deputy from Alagoas from 1995 to 1999 ."
3,2,to parents who immigrated from Slovakia .
4,1,"Nicholas Guy ( fl . 1612 – 1631 ) was one of the first settlers at the London and Bristol Company 's Cuper 's Cove , colony in Newfoundland , and was the father of the first English child born in Newfoundland and subsequently all of the country of Canada ."
5,"1,2",x
6,x,"Jefferson Mall originally had no food court , only a Burger King and a casual dining restaurant called Annabelle 's . Richard E. Jacobs Group of Cleveland , Ohio and included 936,000 square feet "
7,2,Hugo Butler suffered from arteriosclerotic brain disease for several years before he died from a heart attack 
8,x,"John Ferrett was born in 1812 in England, the son of Harry Ferrett and his wife Mary ( née Rabbit ) ."
9,"1,2","Rating the film 1.5/5 , Veeyen of Nowrunning.com said , `` Ulsaha Committee ' is a visual onslaught on the audience from the Jayaram - Akku Akbar team that takes it by total shock ."
10,x,"Rude Kids is a punk rock band. Their first single `` Raggare is a Bunch of Motherfuckers '' , that they recorded themselves , was released by Polydor. Rude Kids was the first Swedish punk band to release a record through a major record label ."
11,"1,2,3,4",The manga began serialization by Tomo Takeuchi in Kodansha 's in the December 2011 issue .
12,x,"Yanbolaq ( Persian : ‎ , also Romanized as Yānbolāq ; also known as Yūmbolāgh and Yānbolāgh-e Jadīd ) is a village in Takab Rural District , in the Central District of Dargaz County , Razavi Khorasan Province , Iran . At the 2006 census , its population was 83 , in 22 families ."
13,"2,3","Faraz Anwar ( Urdu : فراز انور ) ( born 15 July 1976 ) is a Pakistani guitarist from Karachi , known for his solo instrumental work"
14,"1,2,3,4",x
15,"1,2,3,5",x
16,"1,2,3,4,5,6",x
17,"1,3,4,5,6",x
18,"1,2,3,4",x
19,"2,4",x
20,"2,3,4",x
21,"1,2,3,4,5,6,7",x
22,"2,3,4,5,6,9",x
23,"1,2,3,4,5,6,7,8,9",x
24,"1,2,3,4,5,6,7",x
25,"1,2,3,4,5,6,7,8,9,10",x
26,"2,3,4,5,6,7",x
27,"1,2,3,4,5,6,7,8,9",x
28,"1,3,4,5,6,7",x
29,"1,3,4,5,6,7,8",x
30,"1,2,3,4,5,6,7,8",x
